Wavelength (nm),%T,
879.2000122,0.1305524558,
879.0999756,0.1374705136,
879,0.1338967383,
878.9000244,0.1443078816,
878.7999878,0.1423551142,
878.7000122,0.1468637884,
878.5999756,0.155360043,
878.5,0.1560573429,
878.4000244,0.1603878289,
878.2999878,0.1570708901,
878.2000122,0.162318334,
878.0999756,0.1630988717,
878,0.1707393229,
877.9000244,0.1763812453,
877.7999878,0.182072401,
877.7000122,0.180946067,
877.5999756,0.1812474132,
877.5,0.1949430257,
877.4000244,0.1894614249,
877.2999878,0.2034596354,
877.2000122,0.2047616541,
877.0999756,0.211326912,
877,0.2125137448,
876.9000244,0.2240839601,
876.7999878,0.223172754,
876.7000122,0.230922848,
876.5999756,0.2474171519,
876.5,0.247640565,
876.4000244,0.2506735325,
876.2999878,0.2622678578,
876.2000122,0.2637881935,
876.0999756,0.2709644735,
876,0.2738069892,
875.9000244,0.2831085026,
875.7999878,0.2957026958,
875.7000122,0.2985098958,
875.5999756,0.3063761294,
875.5,0.330450356,
875.4000244,0.3397189677,
875.2999878,0.3360376656,
875.2000122,0.3555130661,
875.0999756,0.3650494516,
875,0.3789138198,
874.9000244,0.3793180585,
874.7999878,0.3948592246,
874.7000122,0.4092422724,
874.5999756,0.4151687026,
874.5,0.4274675548,
874.4000244,0.4400619268,
874.2999878,0.4552553296,
874.2000122,0.4661073089,
874.0999756,0.4828544259,
874,0.4999009967,
873.9000244,0.5054647326,
873.7999878,0.5168238878,
873.7000122,0.5218456984,
873.5999756,0.5411732197,
873.5,0.5594727993,
873.4000244,0.5680770278,
873.2999878,0.5772108436,
873.2000122,0.5851730704,
873.0999756,0.61162287,
873,0.6192029119,
872.9000244,0.6455450058,
872.7999878,0.6506022811,
872.7000122,0.6564514041,
872.5999756,0.6797578335,
872.5,0.6800668836,
872.4000244,0.6856918931,
872.2999878,0.6993224621,
872.2000122,0.713804543,
872.0999756,0.7104561925,
872,0.7267608643,
871.9000244,0.7342176437,
871.7999878,0.7483326197,
871.7000122,0.7491707206,
871.5999756,0.7507222891,
